date,name,weight,std
2018-11-02T00:00:00Z,simone,10.375,NA
2018-11-02T00:00:00Z,gagne,10.5625,NA
2018-11-04T00:00:00Z,raisin,18.6875,NA
2018-11-04T00:00:00Z,simone,10.6875,NA
2018-11-04T00:00:00Z,gagne,10.8125,NA
2018-11-05T00:00:00Z,raisin,18.4375,NA
2018-11-05T00:00:00Z,simone,10.5,NA
2018-11-05T00:00:00Z,gagne,10.6875,NA
2018-11-06T00:00:00Z,raisin,18.4375,20.975
2018-11-06T00:00:00Z,simone,10.5,20.975
2018-11-06T00:00:00Z,gagne,10.75,20.975
2018-11-18T00:00:00Z,raisin,19.4375,NA
2018-11-18T00:00:00Z,simone,NA,NA
2018-11-18T00:00:00Z,gagne,NA,NA
2018-11-19T00:00:00Z,raisin,19,NA
2018-11-19T00:00:00Z,simone,10.4375,NA
2018-11-19T00:00:00Z,gagne,10.875,NA
2018-11-20T00:00:00Z,raisin,18.5625,NA
2018-11-20T00:00:00Z,simone,10.4375,NA
2018-11-20T00:00:00Z,gagne,10.5625,NA
2018-11-21T00:00:00Z,raisin,18.4375,NA
2018-11-21T00:00:00Z,simone,10.5,NA
2018-11-21T00:00:00Z,gagne,10.6875,NA
2018-11-22T00:00:00Z,raisin,18.5,NA
2018-11-22T00:00:00Z,simone,10.3125,NA
2018-11-22T00:00:00Z,gagne,10.6875,NA
2018-11-23T00:00:00Z,raisin,18.4375,NA
2018-11-23T00:00:00Z,simone,10.25,NA
2018-11-23T00:00:00Z,gagne,10.5,NA
2018-11-29T00:00:00Z,raisin,18.3125,NA
2018-11-29T00:00:00Z,simone,10.5,NA
2018-11-29T00:00:00Z,gagne,10.625,NA
2018-12-01T00:00:00Z,raisin,18.25,NA
2018-12-01T00:00:00Z,simone,10.375,NA
2018-12-01T00:00:00Z,gagne,10.4375,NA
2018-12-04T00:00:00Z,raisin,18.4375,NA
2018-12-04T00:00:00Z,simone,10.375,NA
2018-12-04T00:00:00Z,gagne,10.625,NA
2018-12-05T00:00:00Z,raisin,18.25,NA
2018-12-05T00:00:00Z,simone,10.4375,NA
2018-12-05T00:00:00Z,gagne,10.75,NA
2018-12-06T00:00:00Z,raisin,18.1875,NA
2018-12-06T00:00:00Z,simone,10.5,NA
2018-12-06T00:00:00Z,gagne,10.6875,NA
2018-12-08T00:00:00Z,raisin,18.25,NA
2018-12-08T00:00:00Z,simone,10.6875,NA
2018-12-08T00:00:00Z,gagne,10.875,NA
2018-12-09T00:00:00Z,raisin,18.1875,NA
2018-12-09T00:00:00Z,simone,10.5,NA
2018-12-09T00:00:00Z,gagne,10.8125,NA
2018-12-10T00:00:00Z,raisin,18.125,NA
2018-12-10T00:00:00Z,simone,NA,NA
2018-12-10T00:00:00Z,gagne,NA,NA
2018-12-11T00:00:00Z,raisin,18.25,NA
2018-12-11T00:00:00Z,simone,10.625,NA
2018-12-11T00:00:00Z,gagne,10.875,NA
2018-12-17T00:00:00Z,raisin,17.9375,NA
2018-12-17T00:00:00Z,simone,10.125,NA
2018-12-17T00:00:00Z,gagne,10.375,NA
2018-12-18T00:00:00Z,raisin,17.875,NA
2018-12-18T00:00:00Z,simone,10.125,NA
2018-12-18T00:00:00Z,gagne,10.6875,NA
2019-01-08T00:00:00Z,raisin,17.9375,NA
2019-01-08T00:00:00Z,simone,10,NA
2019-01-08T00:00:00Z,gagne,10.3125,NA
2019-01-10T00:00:00Z,raisin,17.8125,NA
2019-01-10T00:00:00Z,simone,10.125,NA
2019-01-10T00:00:00Z,gagne,10.375,NA
2019-01-14T00:00:00Z,raisin,17.875,NA
2019-01-14T00:00:00Z,simone,9.9375,NA
2019-01-14T00:00:00Z,gagne,10.3125,NA
2019-01-17T00:00:00Z,raisin,17.8125,20.9625
